種類,毛色,性別,生年月日,血統書団体名,仕切書No,体重,毛質,耳,ペコ,目,鼻,噛み合わせ,門歯歯列,デベソ,ヘルニア,狼爪,尾,パテラ左,パテラ右,胸,心雑,その他
チワワ,ブラック＆タン,オス,2026/05/09,JKC,3020--2,930,ロング,,小,斜視小,,完全オーバー,,,,,,,,,,
MIX(SZ×ML),ホワイト＆ゴールド,オス,2026/05/17,,1134--1,,,,,,,,,,,,,,,,,
MIX(SZ×ML),ホワイト＆ゴールド,オス,2026/05/17,,1134--2,,,,,,,,,,,,,,,,,
MIX(SZ×ML),ホワイト＆ゴールド,メス,2026/05/17,,1134--3,,,,,,,,,,,,,,,,,
フレンチブルドッグ,フォーン,メス,2026/05/16,JKC,1015--1,,,,,,,,,,,,,,,,,両親：DMクリア　父：HUUクリア
ポメラニアン,クリーム,オス,2026/05/14,JKC,1015--2,,,,,,,,,,,,,,,,,父：DM、PRA、HUUクリア
ポメラニアン,ウルフセーブル,メス,2026/05/14,JKC,1015--3,,,,,,,,,,,,,,,,,父：DM、PRA、HUUクリア
ポメラニアン,クリーム,メス,2026/05/14,JKC,1015--4,,,,,,,,,,,,,,,,,父：DM、PRA、HUUクリア
ボーダーコリー,ブラック＆ホワイト,オス,2026/05/16,JKC,1065--1,2300,,,,,,,,,,,,,,,,両親：DM、CL、TNSクリア
ボーダーコリー,ブラック＆ホワイト,メス,2026/05/16,JKC,1065--2,1900,,,,,,,,,,,,,,,,両親：DM、CL、TNSクリア
ボーダーコリー,チョコレート＆ホワイト,オス,2026/05/16,JKC,1065--3,2200,,,,,,,,,,,,,,,,両親：DM、CL、TNSクリア
ボーダーコリー,ブラック＆ホワイト,オス,2026/05/16,JKC,1065--4,,,,,,,,,,,,,,,,,両親：DM、CL、TNSクリア
ボーダーコリー,ブラック＆ホワイト,メス,2026/05/16,JKC,1065--5,,,,,,,,,,,,,,,,,両親：DM、CL、TNSクリア
ボーダーコリー,ブラック＆ホワイト,メス,2026/05/16,JKC,1065--6,,,,,,,,,,,,,,,,,両親：DM、CL、TNSクリア
スコティッシュフォールド,シルバータビー＆ホワイト,オス,2026/05/10,NLCF,2019--1,,,,,,,,,,,,,,,,,
スコティッシュフォールド,ブラウンタビー,オス,2026/05/10,NLCF,2019--2,,,,,,,,,,,,,,,,,
スコティッシュフォールド,シルバーパッチドタビー＆ホワイト,メス,2026/05/10,NLCF,2019--3,,,,,,,,,,,,,,,,,
ウィペット,ブリンドル＆ホワイト,オス,2026/05/16,JKC,1191--1,,,,,,,,,,,,,,,,,
ウィペット,ブリンドル＆ホワイト,オス,2026/05/16,JKC,1191--2,,,,,,,,,,,,,,,,,
ウィペット,ブリンドル＆ホワイト,メス,2026/05/16,JKC,1191--3,,,,,,,,,,,,,,,,,
ウィペット,ブリンドル＆ホワイト,メス,2026/05/16,JKC,1191--4,,,,,,,,,,,,,,,,,
MIX(PT×アメリカンコッカー),レッド,メス,2026/05/16,,1037--1,760,,,,斜視小,,,,,中,,,,,,,父：PRA、DM、vWD1クリア
MIX(PT×アメリカンコッカー),レッド,メス,2026/05/16,,1037--2,1170,,,,斜視小,,,,,,,,,,やや浅い,,父：PRA、DM、vWD1クリア
MIX(PT×アメリカンコッカー),レッド,メス,2026/05/16,,1037--3,1130,,,,斜視小,,,,,,,,,,やや浅い,,父：PRA、DM、vWD1クリア
MIX(PT×アメリカンコッカー),クリーム,オス,2026/05/13,,1037--4,1265,,,,,少し薄い,,上2本,,,,,,,,,父：DMクリア　母：PRAクリア
MIX(PT×アメリカンコッカー),ブラック,メス,2026/05/13,,1037--5,1035,,,,,,,,,,左右,,,,,,父：DMクリア　母：PRAクリア
MIX(PT×アメリカンコッカー),ブラック,メス,2026/05/13,,1037--6,1145,,,,,,,,,,,,,,,,父：DMクリア　母：PRAクリア
MIX(PT×アメリカンコッカー),ブラック,オス,2026/05/13,,1037--7,1155,,,,,,,,,,,,,,,,父：DMクリア　母：PRAクリア
MIX(PT×アメリカンコッカー),ブラック,オス,2026/05/13,,1037--8,1590,,,,,,,,,,,,,,,,父：DMクリア　母：PRAクリア
マルチーズ,ホワイト,メス,2026/05/01,JKC,1002--1,,,,,,,,,,,,,,,,,6/30 5種ワクチン済　両親：グリコーゲン蓄積症クリア
チワワ,ブルーマール,オス,2026/05/14,JKC,1002--2,785,ロング,,小,斜視小,,,,,,,,,,,,両親：PRAクリア
チワワ,チョコレート＆タン,オス,2026/05/14,JKC,1002--3,780,ロング,,小,斜視小,,,,,中,,,,,,,両親：PRAクリア
トイプードル,オレンジフォーン,オス,2026/05/16,JKC,2020--1,1190,,,,,,,,,,左右,断尾なし,,G1,,,
トイプードル,ペールフォーン,オス,2026/05/16,JKC,2020--2,1155,,,,,,,,,,,断尾なし,,,,,
トイプードル,オレンジフォーン,メス,2026/05/16,JKC,2020--3,815,,,,斜視小,,,,,,左右,断尾なし,,,,,
トイプードル,オレンジフォーン,メス,2026/05/16,JKC,2020--4,895,,,,斜視小,,,,,,左右,断尾なし,,,,,
パピヨン,ホワイト＆ブラウン,メス,2026/05/16,JKC,2020--5,900,,,,,,,上4本,,,,,,,,,
パピヨン,ホワイト＆ブラウン,オス,2026/05/16,JKC,2020--6,765,,,,,,,上5本,,,,,,,,,
パピヨン,ホワイト＆ブラウン,オス,2026/05/16,JKC,2020--7,970,,,,,,,上4本,,,,,,,,,
シーズー,ブラウン＆ホワイト,オス,2026/05/14,JKC,2020--8,1095,,,小,,雪鼻小,,,,,,,,,,,
シーズー,ブラウン＆ホワイト,オス,2026/05/14,JKC,2020--9,1330,,,,,,オーバー1ｍｍ,上3本,小,,,,,,,,
シーズー,ゴールド＆ホワイト,メス,2026/05/14,JKC,2020--10,1030,,,,斜視小,,,,小,,,,,,,,左前肢、左後肢パットつながり
シーズー,ゴールド＆ホワイト,メス,2026/05/14,JKC,2020--11,1140,,,,斜視小,,,,小,,,,,,,,
ミニチュアダックスフンド,シェーデッドクリーム,メス,2026/05/13,JKC,1004--1,,,,,,,,,,,,,,,,,両親：PRAクリア
ミニチュアダックスフンド,ブラック＆タン,メス,2026/05/13,JKC,1004--2,,,,,,,,,,,,,,,,,両親：PRAクリア
シェットランドシープドッグ,セーブル＆ホワイト,オス,2026/05/16,JKC,3024--1,,,,,,,,,,,,,,,,,
シェットランドシープドッグ,セーブル＆ホワイト,メス,2026/05/16,JKC,3024--2,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ソルト＆ペッパー,メス,2026/05/16,JKC,1055--1,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ソルト＆ペッパー,メス,2026/05/16,JKC,1055--2,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ホワイト,メス,2026/05/16,JKC,1055--3,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ソルト＆ペッパー,オス,2026/05/16,JKC,1055--4,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ソルト＆ペッパー,オス,2026/05/16,JKC,1055--5,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ソルト＆ペッパー,オス,2026/05/16,JKC,1055--6,,,,,,,,,,,,,,,,,
ミニチュアシュナウザー,ホワイト,オス,2026/05/16,JKC,1055--7,,,,,,,,,,,,,,,,,
パグ,フォーン,メス,2026/05/14,JKC,1055--8,,,,,,,,,,,,,,,,,父：DMクリア
パグ,フォーン,メス,2026/05/14,JKC,1055--9,,,,,,,,,,,,,,,,,父：DMクリア
パグ,フォーン,メス,2026/05/14,JKC,1055--10,,,,,,,,,,,,,,,,,父：DMクリア
パグ,フォーン,メス,2026/05/14,JKC,1055--11,,,,,,,,,,,,,,,,,父：DMクリア
MIX(ML×PT),,オス,2026/05/17,,1017--1,965,,,,,,,,,,,,,,,,父：グリコーゲン蓄積症クリア
MIX(ML×PT),,オス,2026/05/17,,1017--2,970,,,,,,,,,,,,,,,,父：グリコーゲン蓄積症クリア
MIX(ML×PT),,オス,2026/05/17,,1017--3,915,,,,,,,,,,,,,,,,父：グリコーゲン蓄積症クリア
MIX(PO×PT),シルバー,オス,2026/05/17,,1129--1,820,,,,,,,,,,,,,,,,腹部ただれ有
マルチーズ,ホワイト,オス,2026/05/13,JKC,1017--4,575,,,,,,,,,,,,,,,,父：グリコーゲン蓄積症クリア
